C,gamma,epsilon,validation_loss,mee
64.0,0.077,0.01,1.2641922728819845,1.1701427711033046
46.0,0.055,0.01,1.2696281663490516,1.1702508106316485
95.5,0.06,0.01,1.2693417580132993,1.170386275754275
91.0,0.055,0.01,1.2697841462273627,1.1705048177360238
41.5,0.055,0.01,1.2710399838916988,1.170748873250314
95.5,0.055,0.01,1.2702198773487352,1.170940498055318
73.0,0.073,0.01,1.265904680673845,1.1711294001326717
91.0,0.064,0.01,1.2688570429614219,1.1714826008771675
59.5,0.082,0.01,1.2643330375812547,1.1715254658753453
100.0,0.06,0.01,1.2705520997097655,1.1716258642659396
100.0,0.055,0.01,1.2710957525165236,1.17170047309816
10.0,0.073,0.01,1.2712421131081073,1.1717538413869224
41.5,0.1,0.01,1.2678262759687442,1.1717601302585399
82.0,0.069,0.01,1.2675833227603668,1.171926004457715
37.0,0.055,0.01,1.2721392303846533,1.1719527125921554
68.5,0.077,0.01,1.2657919767610075,1.1723142696447042
50.5,0.091,0.01,1.266421420160859,1.1726289398993297
55.0,0.087,0.01,1.2658958742434778,1.1727373488383275
91.0,0.051,0.01,1.2734532812277444,1.172753938770265
86.5,0.051,0.01,1.2735984526959576,1.1727683974854433
68.5,0.051,0.01,1.272399387689998,1.1728417739091486
95.5,0.051,0.01,1.2737504699029698,1.172882490540238
32.5,0.055,0.01,1.2732364160208232,1.1728911494404455
82.0,0.051,0.01,1.2742382198851432,1.1729143936547046
46.0,0.096,0.01,1.2684792973124746,1.1729197472857282
95.5,0.064,0.01,1.2699897220604512,1.1729463950718724
64.0,0.051,0.01,1.2726914196057344,1.1730153998943034
77.5,0.051,0.01,1.2740278567162364,1.173122418208657
73.0,0.051,0.01,1.2733059916517064,1.1731482295731332
77.5,0.073,0.01,1.2675898334595386,1.1732253604102674
100.0,0.051,0.01,1.274115681155448,1.173233220901105
59.5,0.051,0.01,1.2734541656929839,1.1732986953603382
86.5,0.069,0.01,1.2693818709942981,1.1737453576587973
19.0,0.06,0.01,1.2738764505428608,1.1738380623980835
28.0,0.055,0.01,1.274408076869419,1.1738594241997464
55.0,0.051,0.01,1.2749666225371799,1.1739769156526891
14.5,0.064,0.01,1.2737892628198768,1.174141086360456
64.0,0.082,0.01,1.2675564025270174,1.174366992967215
50.5,0.051,0.01,1.2758622869502791,1.1744456868519073
100.0,0.064,0.01,1.271518081695115,1.1745833776953076
73.0,0.077,0.01,1.2681631250425591,1.1748191814778872
46.0,0.051,0.01,1.2765007169800546,1.1751320499880762
82.0,0.073,0.01,1.2699032607016896,1.175600617812416
91.0,0.069,0.01,1.2709706233551346,1.1756279399201213
59.5,0.087,0.01,1.2703030123644266,1.1756758871092499
41.5,0.051,0.01,1.2764560791770692,1.175757883494683
55.0,0.091,0.01,1.2724527914840935,1.1760817872923213
10.0,0.069,0.01,1.2770732744899178,1.1763045724453707
46.0,0.1,0.01,1.2768592453382865,1.1766144515904782
37.0,0.051,0.01,1.2779759231246453,1.1767943713831928
68.5,0.082,0.01,1.2713200981989892,1.1768329378630622
50.5,0.096,0.01,1.2762910394188693,1.1770805595475682
23.5,0.055,0.01,1.2786075473312757,1.177282408751471
77.5,0.077,0.01,1.2713961897936263,1.177315997708937
95.5,0.069,0.01,1.272728781929956,1.1774316248419416
86.5,0.073,0.01,1.2722722370026909,1.1777988572651596
86.5,0.046,0.01,1.2799375203378716,1.1779443758140031
82.0,0.046,0.01,1.2801575005690964,1.1779649271806527
100.0,0.046,0.01,1.280407344580976,1.1779879570601162
95.5,0.046,0.01,1.2805646342033676,1.1781717059737924
91.0,0.046,0.01,1.2802377828396057,1.1782356318994822
32.5,0.051,0.01,1.2801848935766083,1.1784685415541232
77.5,0.046,0.01,1.2808790290415393,1.1784878005204031
64.0,0.087,0.01,1.276223251294936,1.1787364152366218
73.0,0.046,0.01,1.2812494040732527,1.1788468620466188
73.0,0.082,0.01,1.2757245503007146,1.1793169543991848
82.0,0.077,0.01,1.274906020930646,1.1793196502959
68.5,0.046,0.01,1.281559662953419,1.1793395611066488
100.0,0.069,0.01,1.2752555971499353,1.1794722630346188
14.5,0.06,0.01,1.2811138885477462,1.1794952475827838
59.5,0.091,0.01,1.27942610469903,1.1796280659278007
91.0,0.073,0.01,1.2754419149342338,1.1798779234999182
64.0,0.046,0.01,1.2819367706609677,1.1799668707595008
59.5,0.046,0.01,1.2821608186078604,1.1805353361609132
28.0,0.051,0.01,1.2837030367058453,1.1808951922027642
55.0,0.046,0.01,1.282471256602529,1.1810719214754872
50.5,0.1,0.01,1.2859508139139944,1.1811502163797811
55.0,0.096,0.01,1.284694533328599,1.1812380445618205
86.5,0.077,0.01,1.2792696772349625,1.1814805541124265
19.0,0.055,0.01,1.2843127828060366,1.1816339236070605
