C,gamma,epsilon,validation_loss,mee
46.0,0.064,0.01,1.3115221431983906,1.1945738303017799
64.0,0.064,0.01,1.3127782973763495,1.1946974832274484
55.0,0.073,0.01,1.3116490505988583,1.1947590019033483
41.5,0.096,0.01,1.3148136428456472,1.1949107738270213
59.5,0.069,0.01,1.312361608929614,1.1951510076171403
50.5,0.082,0.01,1.3147983060884196,1.1954163672955171
28.0,0.069,0.01,1.3154623644513435,1.1954380118821208
46.0,0.091,0.01,1.3160686892512412,1.1956402860195021
14.5,0.077,0.01,1.3165319600741678,1.195939394787797
19.0,0.073,0.01,1.31695174981036,1.1961374795609927
41.5,0.064,0.01,1.3139308721997711,1.196249089799066
68.5,0.064,0.01,1.3150138889996865,1.1962913220051574
64.0,0.06,0.01,1.3141834844356202,1.1964245385337269
50.5,0.087,0.01,1.3176019693467618,1.196615545328363
59.5,0.06,0.01,1.314148255829254,1.196618227638666
68.5,0.06,0.01,1.3153090124768139,1.1966208218516272
55.0,0.077,0.01,1.315787546197824,1.1966888027441205
73.0,0.06,0.01,1.3166210289291584,1.197127646420064
64.0,0.069,0.01,1.3154466278312003,1.1972230411197529
55.0,0.06,0.01,1.3152257473891948,1.1972724347390065
55.0,0.082,0.01,1.318545897931852,1.1973487533647387
41.5,0.1,0.01,1.317995003013845,1.197435963978886
59.5,0.073,0.01,1.3163711185269706,1.1974622533525674
23.5,0.069,0.01,1.3191214059437835,1.1976404338038036
10.0,0.082,0.01,1.3182463989973345,1.1977110175416197
37.0,0.064,0.01,1.3172666415203502,1.1977619256988088
77.5,0.06,0.01,1.317854282629225,1.1979907497291298
50.5,0.091,0.01,1.3193324407794165,1.1980459343878418
73.0,0.064,0.01,1.317505083923841,1.1983324731854443
59.5,0.077,0.01,1.3192803646915097,1.198353580325014
46.0,0.096,0.01,1.3193768921561007,1.1983803698704834
55.0,0.087,0.01,1.320387860844099,1.1984879116504152
50.5,0.06,0.01,1.3171296405592856,1.1985513294747407
59.5,0.082,0.01,1.3215710039378925,1.1990690562514896
32.5,0.064,0.01,1.3214468565025184,1.1994716353408772
64.0,0.077,0.01,1.3219162010695202,1.199611702865921
64.0,0.073,0.01,1.3204912014597157,1.1996339271975178
82.0,0.06,0.01,1.3202586914510455,1.1997137673131968
68.5,0.069,0.01,1.3198470052231372,1.1997656172283218
46.0,0.06,0.01,1.3198578353272266,1.2001966520707397
64.0,0.082,0.01,1.3232104790605,1.200452084770286
77.5,0.064,0.01,1.3207084266584181,1.2005783297681465
59.5,0.087,0.01,1.3231123043366209,1.2007740078213847
68.5,0.073,0.01,1.3230963585395465,1.2007793079377798
82.0,0.055,0.01,1.3205264555817764,1.200828991508763
14.5,0.073,0.01,1.3227594300192824,1.2008607371120332
77.5,0.055,0.01,1.320346777246512,1.2008807467491343
68.5,0.077,0.01,1.3239960527271573,1.2009319425969966
86.5,0.055,0.01,1.3213888313956768,1.201010299434672
55.0,0.091,0.01,1.3232161133620686,1.201062245430471
46.0,0.1,0.01,1.3228141684868369,1.2010633788168517
73.0,0.055,0.01,1.3205650013666492,1.2011253607509413
86.5,0.06,0.01,1.3225797846499325,1.2013638537199773
91.0,0.055,0.01,1.3227810939303473,1.2014717748193728
50.5,0.096,0.01,1.323444630764452,1.201535852256745
28.0,0.064,0.01,1.3249919170966524,1.2015470738496206
19.0,0.069,0.01,1.3244946993861066,1.2015533304584953
68.5,0.055,0.01,1.321296992010692,1.201596994247934
41.5,0.06,0.01,1.323612832131542,1.2015990286355545
73.0,0.069,0.01,1.3231565360524467,1.2017158338128848
73.0,0.073,0.01,1.325330731714956,1.2018938058803437
68.5,0.082,0.01,1.3253676268194894,1.202148063483079
73.0,0.077,0.01,1.325827655669141,1.2021497015564007
95.5,0.055,0.01,1.323968279224393,1.2021589454290846
82.0,0.064,0.01,1.3237728984353825,1.2024827926249038
64.0,0.055,0.01,1.3234146099881159,1.202768927973906
77.5,0.073,0.01,1.3266621849032203,1.2028390675930103
91.0,0.06,0.01,1.3249300263012513,1.2029625757151443
37.0,0.06,0.01,1.3271639648686675,1.2030301397146064
77.5,0.069,0.01,1.325826361235746,1.203083880767862
77.5,0.077,0.01,1.3274054423598582,1.2033813383027108
64.0,0.087,0.01,1.326493690455586,1.203403135990953
100.0,0.055,0.01,1.3261197400976954,1.203483771996376
10.0,0.077,0.01,1.3265111590299608,1.2035074551292497
59.5,0.091,0.01,1.326482175638301,1.203595291043428
82.0,0.073,0.01,1.328175501811401,1.2038410191485702
82.0,0.069,0.01,1.3277253866510823,1.2039793829526895
59.5,0.055,0.01,1.3254606528287656,1.204137476862874
86.5,0.064,0.01,1.3264231466923357,1.2041478594372073
73.0,0.082,0.01,1.328281163545627,1.2042372990154682
50.5,0.1,0.01,1.3278551295874852,1.2042729838332586
55.0,0.096,0.01,1.3278002076456341,1.2043456841578433
95.5,0.06,0.01,1.3272882888639435,1.2045772425204477
82.0,0.077,0.01,1.3292121023605075,1.2046787636630356
86.5,0.069,0.01,1.3291009118215067,1.2046850844333659
86.5,0.073,0.01,1.3299832293105143,1.2049043173600598
32.5,0.06,0.01,1.330596854633638,1.2049850365629866
23.5,0.064,0.01,1.3304331701458687,1.2050417322950873
91.0,0.069,0.01,1.3302699199122696,1.2053458359279674
95.5,0.051,0.01,1.3265806861463274,1.2053551300154988
55.0,0.055,0.01,1.3282802262036548,1.2053790756868514
100.0,0.051,0.01,1.3268017513790185,1.205381314211339
91.0,0.051,0.01,1.3265787387918064,1.2054890003699255
68.5,0.087,0.01,1.329452659544054,1.2056092063546868
91.0,0.064,0.01,1.3290761117742855,1.2056732474366012
86.5,0.051,0.01,1.3269595785441182,1.2057596598770735
91.0,0.073,0.01,1.3312629139684067,1.2057857333095192
95.5,0.069,0.01,1.3315955175506027,1.2059995348481256
100.0,0.06,0.01,1.329425722404428,1.20601885249538
64.0,0.091,0.01,1.330177376955526,1.206037533586835
86.5,0.077,0.01,1.3314487969643072,1.2061738912501143
77.5,0.082,0.01,1.3307038591863924,1.206189370884149
50.5,0.055,0.01,1.3307492749167968,1.206355620440588
82.0,0.051,0.01,1.3281792995092692,1.2065128784837114
95.5,0.064,0.01,1.3307357655838774,1.2066289534640384
