C,gamma,epsilon,validation_loss,mee
64.0,0.064,0.01,1.4046631924549733,1.2350635805484276
68.5,0.073,0.01,1.4033773942756151,1.2350984563507652
68.5,0.082,0.01,1.4035257838496054,1.2351258488554464
64.0,0.087,0.01,1.4061858491400334,1.2354068627427368
73.0,0.077,0.01,1.4029480641605652,1.2354100836318112
14.5,0.069,0.01,1.399924326407367,1.2355105747656139
37.0,0.06,0.01,1.4032704810818055,1.235589369470028
59.5,0.091,0.01,1.4079328045071664,1.2355947880844673
73.0,0.073,0.01,1.4042159547806985,1.2359760425578852
50.5,0.1,0.01,1.4125557545198806,1.2360968328420918
68.5,0.06,0.01,1.4070813907960258,1.2361116916999382
68.5,0.069,0.01,1.4048224727628447,1.2361575516271825
68.5,0.064,0.01,1.4060574255494325,1.2364787581911287
77.5,0.073,0.01,1.404546455413827,1.2365821730511255
55.0,0.096,0.01,1.4117351263974516,1.2366324384523264
10.0,0.073,0.01,1.3948657027388183,1.2368868320459607
32.5,0.06,0.01,1.40515015623066,1.2370376085782466
73.0,0.069,0.01,1.405815174799442,1.237038593807094
77.5,0.077,0.01,1.4053671952660245,1.2372343580239211
28.0,0.06,0.01,1.405122031411569,1.2372743153344015
55.0,0.055,0.01,1.4075133557675539,1.237462773578929
73.0,0.082,0.01,1.407734611819067,1.23755643748527
73.0,0.064,0.01,1.4071239527717472,1.2375923490093024
19.0,0.064,0.01,1.4046025227139527,1.2376730814650283
59.5,0.055,0.01,1.4088559160696945,1.2376864938456715
77.5,0.069,0.01,1.4068243469594233,1.2377946865508567
73.0,0.06,0.01,1.4086916206058195,1.2378564516177784
82.0,0.073,0.01,1.4059717655374726,1.2378783598293104
64.0,0.055,0.01,1.4100635140270783,1.2381496165687103
50.5,0.055,0.01,1.407643165213621,1.238354967657362
68.5,0.055,0.01,1.410921765577731,1.238646632147759
82.0,0.069,0.01,1.4076569528937235,1.2387791132563588
68.5,0.087,0.01,1.4122346132533492,1.2389137429823511
73.0,0.055,0.01,1.4115461256586352,1.2390368435876173
77.5,0.055,0.01,1.4118884162231005,1.2391553126615198
77.5,0.06,0.01,1.4101873802764318,1.239208266344416
82.0,0.077,0.01,1.4084594885847666,1.2392262441308666
77.5,0.064,0.01,1.409106087419453,1.2392433447917903
86.5,0.069,0.01,1.4080914335530976,1.2392873811950729
86.5,0.073,0.01,1.4079925118543875,1.2394073159729841
23.5,0.06,0.01,1.4072169601750733,1.2394518466789337
64.0,0.091,0.01,1.4150175195432615,1.2395259938362497
46.0,0.055,0.01,1.4076719184791624,1.2395395452377098
82.0,0.055,0.01,1.4123041100990315,1.239752773727157
10.0,0.069,0.01,1.3968406740050354,1.2399618869353999
91.0,0.069,0.01,1.4088629694495307,1.2400159509574975
77.5,0.082,0.01,1.4125950390582795,1.2402000303765819
82.0,0.06,0.01,1.4115413143492412,1.2403911089349342
14.5,0.064,0.01,1.4021946532241993,1.2404033858767853
82.0,0.064,0.01,1.410626014387851,1.2404075298990298
41.5,0.055,0.01,1.408889845934264,1.2407758657053787
86.5,0.055,0.01,1.4132519403866701,1.2407950613813863
55.0,0.1,0.01,1.4211178150034252,1.2408807873780894
59.5,0.096,0.01,1.4199296765048282,1.241018051613658
91.0,0.073,0.01,1.4103474332822228,1.241069384143657
95.5,0.069,0.01,1.4103629942042937,1.2411597309700144
86.5,0.064,0.01,1.4117303085344806,1.2413392468131115
86.5,0.077,0.01,1.4124078532114468,1.24135920014462
86.5,0.06,0.01,1.412734871619588,1.2413698590492275
68.5,0.051,0.01,1.4136416106698568,1.2415228642000353
19.0,0.06,0.01,1.406509777936477,1.2415244816002395
73.0,0.051,0.01,1.414534867726866,1.2416234241723079
64.0,0.051,0.01,1.4126816673972855,1.241653076965003
91.0,0.064,0.01,1.4120701915144551,1.2417719302336458
37.0,0.055,0.01,1.4102929206999253,1.2418609102772422
91.0,0.055,0.01,1.4146370669150192,1.2419660092378066
77.5,0.051,0.01,1.4155150879526361,1.2421250290437589
59.5,0.051,0.01,1.4119304098522654,1.2421863305151495
95.5,0.064,0.01,1.4125567394867375,1.2422705681096136
32.5,0.055,0.01,1.4106271326730544,1.2422966070928692
100.0,0.069,0.01,1.4121467535691772,1.2425122063184182
73.0,0.087,0.01,1.4192879771500768,1.242547824686759
91.0,0.06,0.01,1.4139790122587,1.242622893807801
95.5,0.073,0.01,1.413132289587374,1.2426434606242616
82.0,0.051,0.01,1.4164697856903998,1.2426569509191856
100.0,0.064,0.01,1.4127700143274782,1.2429067167922994
55.0,0.051,0.01,1.4119826934037951,1.2430396187906976
86.5,0.051,0.01,1.4173500068084308,1.2430489806013651
95.5,0.055,0.01,1.4161365873138527,1.243274304138931
91.0,0.051,0.01,1.4178209229056715,1.243288078370632
82.0,0.082,0.01,1.4186458547173726,1.2434171126553082
68.5,0.091,0.01,1.4227507966810777,1.2434367023535688
95.5,0.051,0.01,1.4181539495772464,1.2436202322929764
95.5,0.06,0.01,1.4151140399042281,1.2436474745595187
91.0,0.077,0.01,1.4172199566795647,1.243809745167758
50.5,0.051,0.01,1.4126692292031657,1.2439586565315333
100.0,0.051,0.01,1.4183658049364865,1.2441318678738602
14.5,0.06,0.01,1.4029194836817578,1.2441511449150802
100.0,0.055,0.01,1.417309781576228,1.2443556294539575
100.0,0.073,0.01,1.4165889433604426,1.2445025896843582
28.0,0.055,0.01,1.4128575541714845,1.2446173049350489
100.0,0.06,0.01,1.4165114211229692,1.2447370219720164
10.0,0.064,0.01,1.3998216330790334,1.2448436580222686
46.0,0.051,0.01,1.4139406253638267,1.245313263069051
41.5,0.051,0.01,1.4145146462231994,1.2454527020316966
23.5,0.055,0.01,1.4112880936083163,1.2456419378688313
64.0,0.096,0.01,1.4290249486864919,1.2457221221633659
77.5,0.087,0.01,1.4266340183723505,1.2462021826659802
59.5,0.1,0.01,1.4312515928060443,1.2463480107090579
95.5,0.077,0.01,1.4223925657562893,1.2463894345442366
82.0,0.046,0.01,1.4187382793821752,1.2464996459739806
86.5,0.046,0.01,1.4200645320753895,1.246664809232083
86.5,0.082,0.01,1.425250196866412,1.2466725087988395
19.0,0.055,0.01,1.4077640102025106,1.2468262403471095
77.5,0.046,0.01,1.4179869751885383,1.2468463607339422
37.0,0.051,0.01,1.415964380028784,1.2470270488255575
91.0,0.046,0.01,1.4212494483289628,1.2470394702110918
95.5,0.046,0.01,1.4219315599794446,1.2472797191659273
73.0,0.046,0.01,1.4183885376585168,1.2475800157609604
73.0,0.091,0.01,1.4313694380383093,1.2477187602593525
100.0,0.046,0.01,1.4229991826851993,1.2477288064796592
68.5,0.046,0.01,1.4187034004067054,1.2483281776358472
32.5,0.051,0.01,1.4175158010731017,1.2486057048771977
14.5,0.055,0.01,1.4036821269211996,1.2488813700581742
64.0,0.046,0.01,1.4191363312693388,1.2489471050463463
100.0,0.077,0.01,1.4277020610180324,1.2490126743501555
10.0,0.06,0.01,1.4027581670029643,1.2491339044207375
23.5,0.051,0.01,1.4109120735802638,1.249172077890003
28.0,0.051,0.01,1.4162320125546026,1.249502159896586
59.5,0.046,0.01,1.420148589661827,1.2498063756911233
91.0,0.082,0.01,1.4316594117612436,1.2498177531553298
82.0,0.087,0.01,1.4342711102115255,1.2499635106479596
19.0,0.051,0.01,1.4072551950823333,1.2503240523930486
55.0,0.046,0.01,1.4218068501360246,1.2508506422936152
100.0,0.042,0.01,1.4247117252017323,1.2511961163731244
68.5,0.096,0.01,1.439340815399806,1.2512005557843633
95.5,0.042,0.01,1.4249435746230552,1.2515750864138566
50.5,0.046,0.01,1.4233145329555703,1.251879674974776
64.0,0.1,0.01,1.44193533666727,1.2520355214727503
91.0,0.042,0.01,1.4255280746722,1.252184864051036
77.5,0.091,0.01,1.4406131710944732,1.2525149330878385
46.0,0.046,0.01,1.4242437455045105,1.252892557100361
95.5,0.082,0.01,1.4381218984188098,1.2530037960467642
28.0,0.046,0.01,1.4140303673960424,1.253006313174399
86.5,0.042,0.01,1.4262143578271669,1.2530576764104866
32.5,0.046,0.01,1.4175818204113477,1.253079179923076
82.0,0.042,0.01,1.4263060222636945,1.2535555144441037
41.5,0.046,0.01,1.4249490998808614,1.2538781907925496
86.5,0.087,0.01,1.4420913733071088,1.2539898952116624
37.0,0.046,0.01,1.4229737166041778,1.2540238689495282
10.0,0.055,0.01,1.4074948544240389,1.2540371405005768
77.5,0.042,0.01,1.4265265186362381,1.2540922327556374
14.5,0.051,0.01,1.4101024527118635,1.2543870740322838
23.5,0.046,0.01,1.4130182906481399,1.2547873953371838
73.0,0.042,0.01,1.4274848847727344,1.2549664886536551
68.5,0.042,0.01,1.428914728102398,1.256020086456051
73.0,0.096,0.01,1.448464152067188,1.256085963734468
100.0,0.082,0.01,1.4442489460106367,1.2561304792335966
64.0,0.042,0.01,1.4296437240488573,1.256646504114013
82.0,0.091,0.01,1.4485135871236166,1.2567700265225827
