n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
1000,7,3,3,True,1.2465010271178227,1.1629216580725479
1000,7,4,3,True,1.2475981698347622,1.16296867246542
500,7,3,3,True,1.2448300542722956,1.1630492935695922
1000,7,5,3,True,1.2449804281760934,1.1632417552082397
50,8,2,3,True,1.2817191028555237,1.1644730941202788
50,9,5,3,True,1.2923287286235459,1.1646243648251633
500,6,2,10,True,1.3675426530487684,1.1664186381435222
10,8,5,10,True,1.4063787786544737,1.166590722911537
50,8,5,3,True,1.2899400731583426,1.1672657089515488
1000,6,4,10,True,1.3663087488085308,1.1682351661710468
100,6,2,10,True,1.3719114790595952,1.1684486623905217
50,7,4,10,True,1.3999913325276128,1.1684674146821175
1000,6,3,10,True,1.3687926978358296,1.1695199797886022
100,7,4,3,True,1.2614239560336789,1.169545527820156
1000,6,2,10,True,1.373792981022127,1.1696162610827523
500,6,3,10,True,1.3651031618817182,1.1696225880029487
500,6,5,10,True,1.3685721567170406,1.1698812531680407
100,6,5,10,True,1.3755550408952264,1.169926428469743
100,7,5,3,True,1.263997925247001,1.1716668293929842
50,8,4,3,True,1.2964848162628466,1.1718607155106013
100,7,3,3,True,1.276446345678544,1.1725598611765593
10,7,2,10,True,1.4312423873608426,1.1730334341148656
1000,6,5,10,True,1.377235976663546,1.173849970402198
100,7,2,3,True,1.269579546060017,1.1740798685162304
500,6,4,10,True,1.3877540078205133,1.1760254549674105
100,6,4,10,True,1.3918707870839588,1.1773888859786164
50,7,2,3,True,1.289647201923522,1.1791566574548722
100,6,3,10,True,1.3858824831452963,1.1806738114130024
50,6,3,10,True,1.415561879834029,1.1806977761181636
10,10,2,10,True,1.402481763781806,1.1827604230306146
50,7,3,3,True,1.2916258095195408,1.1839615287663519
50,8,3,3,True,1.307443999015286,1.1840055672344911
50,6,5,10,True,1.3774605182088233,1.1843046805773072
10,9,3,10,True,1.4805243178217706,1.185347812936206
50,6,4,10,True,1.4120562439124955,1.186192992808528
50,6,2,10,True,1.4253303082740132,1.1871875643098477
50,7,5,3,True,1.3009943033113793,1.1894348026748105
10,8,3,3,True,1.3032923225820217,1.1901068861408133
50,7,4,3,True,1.3147022066208378,1.1942855336476796
10,10,3,10,True,1.4575987698008914,1.1965497322964167
10,7,5,10,True,1.4579863331953287,1.1977983502190448
1000,6,2,3,True,1.3007531225685962,1.2040922081977667
10,9,2,10,True,1.5155886876734341,1.2041974145010745
500,6,3,3,True,1.3004955981307649,1.2043679821263502
1000,6,4,3,True,1.3012106036564137,1.2049034263727245
100,6,5,3,True,1.3188898209999276,1.2051994363830498
1000,6,3,3,True,1.3010775452956524,1.2054105740999426
500,6,4,3,True,1.3064157099992746,1.2068680524702522
10,8,4,10,True,1.5935858025783136,1.207835742237341
500,6,2,3,True,1.3124042523695205,1.20830482707837
1000,6,5,3,True,1.3044998430680974,1.2084598068683703
500,6,5,3,True,1.3210721616833354,1.2114602966623114
10,8,3,10,True,1.547234570415407,1.2152220595013326
50,6,3,3,True,1.3441103716084857,1.2166987109453538
10,6,3,10,True,1.5056776220347452,1.2181092573923726
10,7,3,10,True,1.583047994987561,1.2185353287250298
100,6,2,3,True,1.3373774011067598,1.2188703578618443
100,6,3,3,True,1.3172435909429048,1.219306236962923
10,6,5,10,True,1.4621728417100543,1.2197354260946076
10,9,4,10,True,1.5095611386972194,1.2216678146788962
50,6,2,3,True,1.328297170358624,1.2233030901313537
10,7,5,3,True,1.3782279455716593,1.2253633130829467
10,9,4,3,True,1.458286876988139,1.2265234785333
50,6,4,3,True,1.3446719941310326,1.2282947224120704
10,7,4,10,True,1.5141189072175254,1.2283615036186983
100,6,4,3,True,1.3475417055983305,1.228852197985031
10,8,2,10,True,1.4889041682768949,1.2293081072421657
10,10,4,10,True,1.5990975720878338,1.2309091151738527
10,9,3,3,True,1.3997355111843564,1.2315884539377304
50,6,5,3,True,1.3493140160271992,1.2316921487247638
10,10,4,3,True,1.4698826215655914,1.2356168476764176
10,7,3,3,True,1.4421583726291833,1.237746192394538
10,6,4,10,True,1.5615819959364194,1.2384038889123672
10,9,5,10,True,1.5834442529013875,1.2423545269224254
10,6,2,10,True,1.5398725439945706,1.2429082689353215
10,8,5,3,True,1.4602363884207588,1.2444135303911235
10,8,4,3,True,1.4297500496522868,1.246408322574838
10,10,3,3,True,1.45031276264161,1.2468110227788267
