n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
50,4,4,10,False,1.9165287672052518,1.5217761089555104
100,4,4,10,False,1.9075674948250807,1.5266754788403774
500,4,4,10,False,1.8759741680758273,1.5152033387127772
1000,4,4,10,False,1.8676470056216452,1.513791791417797
10,4,5,10,False,1.9586072891216357,1.5676982889047502
50,4,5,10,False,1.9337261768891223,1.5307517831070983
100,4,5,10,False,1.9228844654424713,1.5283433577100176
500,4,5,10,False,1.8810130537635525,1.5153353292045588
1000,4,5,10,False,1.8770952860185464,1.515597148342607
10,4,2,3,False,3.7599280793280605,2.194713215126655
50,4,2,3,False,3.415044228390231,2.1006633048635774
100,4,2,3,False,3.1951167170655426,2.039794289240419
500,4,2,3,False,3.2129320354044846,2.0401998052618437
1000,4,2,3,False,3.1672138992955605,2.018728607468418
10,4,3,3,False,3.7043814028662423,2.2132942654399135
50,4,3,3,False,3.212303594204012,2.0355575669492314
100,4,3,3,False,3.083312678868172,1.9972405295085738
500,4,3,3,False,3.187164883707622,2.0328660383807793
1000,4,3,3,False,3.1920857777740186,2.028270748314973
10,4,4,3,False,3.882473037721741,2.2394895662706356
50,4,4,3,False,3.2483549368066766,2.036294545737643
100,4,4,3,False,3.3016142918414877,2.0650143308508446
500,4,4,3,False,3.1454019406224965,2.0167567315014816
1000,4,4,3,False,3.208075727632566,2.041292568452921
10,4,5,3,False,3.5084246200308087,2.149373691126085
50,4,5,3,False,3.311662862447464,2.057977322317893
100,4,5,3,False,3.121276716546817,2.0142619196791305
500,4,5,3,False,3.1283254257304747,2.009384585597769
1000,4,5,3,False,3.1939440804660824,2.031088445002437
10,5,2,10,False,1.7129427984874386,1.4149751864197688
50,5,2,10,False,1.519307416508937,1.325386297582518
100,5,2,10,False,1.49658041302698,1.3198373993590622
500,5,2,10,False,1.4886728782505123,1.3221831901979881
1000,5,2,10,False,1.4958746781879895,1.3174044651033632
10,5,3,10,False,1.8251305525464867,1.4421450975161827
50,5,3,10,False,1.5293163219235797,1.3309386805574068
