n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,random_state,min_impurity_decrease,validation_loss,mee
1000,2,3,3,True,2,1.0,4.402817580484359,2.4948321851997464
10,2,4,3,True,1,1.0,4.6341069676006175,2.5543033022423898
10,2,4,3,True,2,1.0,4.82958248652032,2.588442097054588
50,2,4,3,True,1,1.0,4.466187601680795,2.5133341131334435
50,2,4,3,True,2,1.0,4.567792517895092,2.5417995364392882
100,2,4,3,True,1,1.0,4.537070758739957,2.530102176432855
100,2,4,3,True,2,1.0,4.429259543415135,2.5079041020085606
1000,2,4,3,True,1,1.0,4.452378290916407,2.5093777765604157
1000,2,4,3,True,2,1.0,4.402817580484359,2.4948321851997464
10,3,2,1,True,1,0.0,2.5387759330635906,1.8244516219182254
10,3,2,1,True,2,0.0,2.7653827595497176,1.8799526812731844
50,3,2,1,True,1,0.0,2.453019973594517,1.8022920249838723
50,3,2,1,True,2,0.0,2.5377366590866153,1.820201288229292
100,3,2,1,True,1,0.0,2.492189727248722,1.8069646925223994
100,3,2,1,True,2,0.0,2.499979737027358,1.8142573664043338
1000,3,2,1,True,1,0.0,2.4604045949558,1.7955345115230388
1000,3,2,1,True,2,0.0,2.424026150823682,1.7838781490719158
10,3,3,1,True,1,0.0,2.5387759330635906,1.8244516219182254
10,3,3,1,True,2,0.0,2.7653827595497176,1.8799526812731844
50,3,3,1,True,1,0.0,2.453019973594517,1.8022920249838723
50,3,3,1,True,2,0.0,2.5377366590866153,1.820201288229292
100,3,3,1,True,1,0.0,2.492189727248722,1.8069646925223994
100,3,3,1,True,2,0.0,2.499979737027358,1.8142573664043338
1000,3,3,1,True,1,0.0,2.4604045949558,1.7955345115230388
1000,3,3,1,True,2,0.0,2.424026150823682,1.7838781490719158
10,3,4,1,True,1,0.0,2.5387759330635906,1.8244516219182254
10,3,4,1,True,2,0.0,2.7653827595497176,1.8799526812731844
50,3,4,1,True,1,0.0,2.453019973594517,1.8022920249838723
50,3,4,1,True,2,0.0,2.5377366590866153,1.820201288229292
100,3,4,1,True,1,0.0,2.492189727248722,1.8069646925223994
100,3,4,1,True,2,0.0,2.499979737027358,1.8142573664043338
1000,3,4,1,True,1,0.0,2.4604045949558,1.7955345115230388
1000,3,4,1,True,2,0.0,2.424026150823682,1.7838781490719158
10,3,2,2,True,1,0.0,2.5387759330635906,1.8244516219182254
10,3,2,2,True,2,0.0,2.7653827595497176,1.8799526812731844
50,3,2,2,True,1,0.0,2.453019973594517,1.8022920249838723
50,3,2,2,True,2,0.0,2.5377366590866153,1.820201288229292
100,3,2,2,True,1,0.0,2.492189727248722,1.8069646925223994
100,3,2,2,True,2,0.0,2.499979737027358,1.8142573664043338
1000,3,2,2,True,1,0.0,2.4607228926407494,1.7956298433307192
1000,3,2,2,True,2,0.0,2.4237317603440522,1.7837503065847102
10,3,3,2,True,1,0.0,2.5387759330635906,1.8244516219182254
10,3,3,2,True,2,0.0,2.7653827595497176,1.8799526812731844
