n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
1000,7,2,10,False,1.2250359073564707,1.150716767311534
1000,7,3,10,False,1.2262158599526887,1.1508095195374686
1000,7,5,10,False,1.2315250459898361,1.1518000983792813
100,7,3,10,False,1.2282162667533671,1.152099899665493
500,7,2,10,False,1.2317532778205755,1.1530403816574841
1000,7,4,10,False,1.2310913463527433,1.1532408640118836
50,7,4,10,False,1.2472408337152,1.15458991986101
50,7,2,10,False,1.2465457391754053,1.1598750153103798
10,10,3,10,False,1.289074766837741,1.1604931998810495
100,7,2,10,False,1.2458263013613524,1.1612223885179844
10,8,2,10,False,1.2763394031713395,1.1620263211237953
10,10,5,10,False,1.3204057512365284,1.1629475706973078
100,7,5,10,False,1.2532288097322273,1.1660287004400494
50,7,5,10,False,1.2751623959206846,1.1704853196698333
50,7,3,10,False,1.2650607207430702,1.1735337893018252
10,10,2,10,False,1.3466135818231495,1.1740703362464733
10,8,3,10,False,1.2944974553417474,1.1753105836778044
10,9,3,10,False,1.3585561835487345,1.1790352720148434
10,8,4,10,False,1.3010837859916955,1.179318271607455
10,8,5,10,False,1.36032866767673,1.1794858218431916
10,9,2,10,False,1.3943527260799458,1.1828069276686235
10,7,5,10,False,1.3191697160708618,1.1881445505764154
500,10,2,3,False,1.2772702499049793,1.1934828539391118
1000,10,2,3,False,1.2808296430492756,1.1949360860310794
1000,10,3,3,False,1.2837620020439329,1.1980919913555383
500,10,3,3,False,1.2885709902180813,1.2006363436588123
100,10,3,3,False,1.294209258121257,1.2009183909732173
500,10,5,3,False,1.3055220287645444,1.2043379219557688
1000,10,4,3,False,1.2939278604801554,1.2052468746084604
500,10,4,3,False,1.3008153432991643,1.2069734445501006
10,7,3,10,False,1.3371188079805527,1.2069862404329437
1000,10,5,3,False,1.30040596782404,1.2073842012171845
100,10,2,3,False,1.2891268006533005,1.2075728966074835
10,7,2,10,False,1.3931798876026618,1.2098864651172458
50,10,4,3,False,1.3130515665942053,1.2110560183112198
100,10,4,3,False,1.3059364056857583,1.2150831355959206
100,6,5,10,False,1.344663540069916,1.2173332353531123
1000,6,5,10,False,1.3324991329408429,1.2179862660398866
500,6,2,10,False,1.3269346190962603,1.2180456138154512
1000,6,4,10,False,1.3322922492625977,1.2185011618141404
100,6,2,10,False,1.3297526159340058,1.218715203779799
1000,6,2,10,False,1.3316483176765588,1.2188867952954956
500,6,5,10,False,1.33780409093483,1.220703939160116
100,10,5,3,False,1.3167222314213267,1.221734308511906
1000,6,3,10,False,1.3381670551784797,1.221989510838694
500,6,4,10,False,1.339807043895133,1.222294038272519
500,6,3,10,False,1.3457598751249686,1.2242393422902889
100,6,4,10,False,1.3495142659900012,1.226923811284614
50,10,3,3,False,1.3479847539376244,1.2271118133505499
50,10,2,3,False,1.3624448749715923,1.227794560166672
50,10,5,3,False,1.3527359072125409,1.2291865938634519
100,6,3,10,False,1.3561325829790412,1.2309442692813268
1000,9,2,3,False,1.3498985227994598,1.2341597471013668
50,6,4,10,False,1.3523052896377525,1.2341646488130056
50,6,3,10,False,1.377044951945856,1.2364657836434023
500,9,2,3,False,1.3501415991697538,1.2368375607996414
100,9,4,3,False,1.3642139773165418,1.239406866762456
1000,9,3,3,False,1.358168063767561,1.239611444424052
10,7,4,10,False,1.4239010068902294,1.240221527770816
50,6,2,10,False,1.3740219930826185,1.240922186932917
500,9,3,3,False,1.36784340064337,1.2431249556948814
100,9,2,3,False,1.3758017074831852,1.2438415819838489
50,6,5,10,False,1.3796123311746906,1.2448327418293197
500,9,4,3,False,1.3691820771916492,1.2453560229091194
500,9,5,3,False,1.36481952703354,1.2461472596277028
1000,9,4,3,False,1.365457552635574,1.2466333291672806
50,9,3,3,False,1.3788492950510258,1.2495101412047835
50,9,2,3,False,1.3878513004937225,1.2506421212189618
1000,9,5,3,False,1.3764297856998515,1.250863356569462
100,9,3,3,False,1.3731139773575443,1.2523067943150927
50,9,5,3,False,1.3773747372865315,1.2567065424531294
100,9,5,3,False,1.4129887561446628,1.2747528143440017
10,9,5,3,False,1.473346648118291,1.278418541213364
10,6,3,10,False,1.4409102165903809,1.280332642129493
50,9,4,3,False,1.4437937173427116,1.2822577054810722
10,6,5,10,False,1.4594994546864057,1.285787173518617
10,10,4,3,False,1.4876748311032413,1.2900502843477926
10,10,3,3,False,1.4890037694474019,1.2922549686800795
10,10,5,3,False,1.5147218390980008,1.299018540654883
500,8,3,3,False,1.4706260648910254,1.3019597890296708
500,8,2,3,False,1.4744308418021623,1.302829585021403
1000,8,3,3,False,1.474235043145408,1.3061628409566748
500,8,4,3,False,1.4770699032389971,1.3075386189057823
1000,8,2,3,False,1.4702269123969482,1.3078317001510384
1000,8,4,3,False,1.4824853754829341,1.3097128517194732
10,6,2,10,False,1.514166142388872,1.3107115605953867
1000,8,5,3,False,1.4872326180981927,1.3128589065787095
100,8,4,3,False,1.4941150574493633,1.314623973039322
100,8,3,3,False,1.5029268497582446,1.31572996010653
500,8,5,3,False,1.4979003922384804,1.3192268796969497
100,8,5,3,False,1.520416465640545,1.3197348755215375
50,8,2,3,False,1.5146363028858107,1.3216580156601954
10,6,4,10,False,1.538916568948709,1.322700145630877
100,8,2,3,False,1.5007641652186676,1.3227241197035107
50,8,4,3,False,1.5357237376671187,1.3261862883355189
1000,5,2,10,False,1.5187239323840407,1.3275985720273076
1000,5,4,10,False,1.5228957629955673,1.3297135039287717
500,5,2,10,False,1.5196634006270024,1.330196662388808
500,5,4,10,False,1.5246325107392416,1.3302431523665215
1000,5,5,10,False,1.5250729539884316,1.3306295479783843
100,5,2,10,False,1.5202866828115311,1.3317361704765802
10,10,2,3,False,1.5616866628445498,1.3341590580610991
1000,5,3,10,False,1.5333203780946525,1.3346354594117504
50,8,3,3,False,1.5282430214754954,1.3355070361140615
500,5,3,10,False,1.5359003002596552,1.3365156228160642
100,5,4,10,False,1.5403423661469509,1.3365426479213156
50,5,4,10,False,1.5315623826737583,1.337353109304041
500,5,5,10,False,1.5414259384711009,1.3377084565452484
50,5,5,10,False,1.545906635034523,1.3383221040257705
100,5,3,10,False,1.5566535291660213,1.3444834531295808
50,5,2,10,False,1.540722730672537,1.34838721393164
50,5,3,10,False,1.5659957690265436,1.3490612932713304
50,8,5,3,False,1.5538874071563882,1.3498445560137764
100,5,5,10,False,1.5640008970698085,1.355869289994116
10,9,3,3,False,1.6728129615596088,1.3648454849061584
10,9,4,3,False,1.6417196008339214,1.3680951989996035
10,8,3,3,False,1.6706239450134872,1.3839887207471504
10,9,2,3,False,1.7076341821083587,1.3855116788084811
50,7,4,3,False,1.6435532334044147,1.38617958620589
500,7,2,3,False,1.6331151243584419,1.3945531759920375
100,7,4,3,False,1.6497829890125277,1.3955193306859743
10,8,5,3,False,1.7245224186902393,1.3969176877072176
1000,7,5,3,False,1.647383609038499,1.3980057925063785
10,5,5,10,False,1.6694760766290784,1.3984297211848808
1000,7,4,3,False,1.653654053823611,1.3986030815787
50,7,5,3,False,1.6731982805433112,1.3986938127585933
500,7,5,3,False,1.652703645051258,1.399044477366041
1000,7,2,3,False,1.6489476024686502,1.400589840572903
1000,7,3,3,False,1.6514926979661613,1.4013316995405207
100,7,5,3,False,1.6625328045761592,1.403770010265701
500,7,3,3,False,1.66484021419204,1.4044158424671056
100,7,2,3,False,1.6471505347837174,1.4056378229587372
10,5,4,10,False,1.687673017175585,1.4057715991639772
10,5,2,10,False,1.7209018197701274,1.40933631039424
100,7,3,3,False,1.6847846807111826,1.4128428993261652
500,7,4,3,False,1.6793443819290024,1.4134100887188683
50,7,2,3,False,1.6977808890222785,1.4177038274860199
50,7,3,3,False,1.7143870865192667,1.4196899242774699
10,8,2,3,False,1.774429020369717,1.423529310747632
10,5,3,10,False,1.7804279286053146,1.4245369929677463
10,7,3,3,False,1.7942313691939602,1.4458566567551316
10,8,4,3,False,1.7785145732943648,1.457969160829621
10,7,4,3,False,1.8168734491722973,1.4736816331388607
10,7,5,3,False,1.8271854798457974,1.4888856010953577
10,7,2,3,False,1.958538318795471,1.4989922328312093
500,4,2,10,False,1.8825484320498076,1.520314607724579
1000,4,4,10,False,1.8851382934543246,1.5218411149610214
1000,4,5,10,False,1.890263389483888,1.5242988479581836
50,4,4,10,False,1.9022920009113635,1.5249235333379338
100,4,3,10,False,1.8769504367859484,1.524953294329011
1000,4,3,10,False,1.8973012848760622,1.5276112005491336
1000,4,2,10,False,1.8894601803420907,1.5279952916890611
500,4,4,10,False,1.8943065973648594,1.528526017728897
50,6,4,3,False,1.9466613239302055,1.5338166673329834
100,4,4,10,False,1.9089112269734188,1.5340874133406481
500,4,3,10,False,1.910414551989876,1.5354733251916481
100,4,2,10,False,1.9217548866204237,1.5369663307519508
500,4,5,10,False,1.9151567218814864,1.5370397615656566
1000,6,2,3,False,1.9333459865309397,1.5383267777241445
500,6,3,3,False,1.936827666715166,1.5386060469654
100,4,5,10,False,1.902995545005295,1.538659749267433
1000,6,3,3,False,1.9313283028857569,1.5388488420104025
1000,6,5,3,False,1.9333885338913828,1.5391368381718875
1000,6,4,3,False,1.9385978530916943,1.5396676257425528
500,6,2,3,False,1.9476766179202119,1.5401868929385953
500,6,4,3,False,1.9488430177629112,1.5435263003893478
100,6,2,3,False,1.9478067292270727,1.5436449709429223
50,6,2,3,False,1.9317848929402182,1.5442239223707772
100,6,3,3,False,1.9476355921097794,1.5444848353992682
500,6,5,3,False,1.9550985526656863,1.5459965531699307
50,4,3,10,False,1.9164079477259999,1.546831175665373
50,4,2,10,False,1.9387447788436067,1.5478787841116972
50,4,5,10,False,1.9327139520765553,1.5489264691033473
100,6,5,3,False,1.9527077140129891,1.550409796090215
100,6,4,3,False,1.962266891738599,1.552539941974162
10,6,3,3,False,1.9894444464957577,1.5711071822125278
50,6,3,3,False,2.0320498315276803,1.5755708140487956
50,6,5,3,False,2.021781489438421,1.5780525896396542
10,6,5,3,False,2.154758110713696,1.6051654047960087
10,6,2,3,False,2.220851896077704,1.62615735658666
10,4,4,10,False,2.2144439616554497,1.6340498860760262
10,4,3,10,False,2.2612741658259106,1.6659059287670905
10,4,2,10,False,2.242068918564074,1.6766208191468555
10,6,4,3,False,2.2409079526751268,1.6767077582469707
500,5,2,3,False,2.3840027709331197,1.7347280957381839
100,5,4,3,False,2.382389475702951,1.7416451303474394
100,5,3,3,False,2.408208043792169,1.7419331238491882
1000,5,5,3,False,2.396288088504708,1.741952105942521
100,5,5,3,False,2.399371886685767,1.7449185106494494
1000,5,4,3,False,2.392101621852593,1.7453705012564524
500,5,4,3,False,2.3990892143437126,1.747027417809947
10,4,5,10,False,2.465747964613336,1.749339480585531
500,5,5,3,False,2.4138744431525803,1.7497025500088346
1000,5,3,3,False,2.4084875962653594,1.7500284612093464
1000,5,2,3,False,2.41969844565038,1.7529287254443315
500,5,3,3,False,2.430295055521929,1.7546146353655738
50,5,3,3,False,2.449156950280971,1.7575162116115792
50,5,5,3,False,2.455153576678543,1.7684380483171074
50,5,2,3,False,2.4482400326073295,1.768807475476851
50,5,4,3,False,2.4838884892907904,1.7714401351381694
100,5,2,3,False,2.4780655422930424,1.7859783207126563
10,5,3,3,False,2.6571090199948655,1.8178799871553544
10,5,4,3,False,2.750727729951935,1.8419700821533032
100,3,5,10,False,2.723566514566909,1.875030368198031
500,3,5,10,False,2.7172047931523142,1.878759386585973
1000,3,4,10,False,2.715360935615278,1.8794458368958449
100,3,3,10,False,2.726595129841841,1.8814523323331331
50,3,2,10,False,2.7254174624001206,1.883208125348039
500,3,4,10,False,2.7193252545543998,1.8838509334351845
10,5,2,3,False,2.8453327656309377,1.8839456344714325
1000,3,3,10,False,2.7232932459877404,1.8840257431878338
100,3,4,10,False,2.740430476175464,1.8843923248608703
50,3,4,10,False,2.7571856853576717,1.8853569635568166
1000,3,2,10,False,2.723548657637091,1.8856301627229997
1000,3,5,10,False,2.734725539597774,1.8872933171931083
50,3,3,10,False,2.755746545893427,1.888082254263263
500,3,3,10,False,2.73600359022973,1.8889442407711583
500,3,2,10,False,2.7396835252685503,1.890197749150741
10,5,5,3,False,2.7881011755124305,1.8960594926812002
100,3,2,10,False,2.775843887236111,1.902227764353617
50,3,5,10,False,2.8455205899552696,1.9227674507858332
10,3,5,10,False,2.9941506848283397,1.9876658853274414
10,3,4,10,False,3.0333049055179044,1.9880385959728857
10,3,2,10,False,3.0153964432766,2.0051299920201315
50,4,4,3,False,3.1493070141625954,2.028696495012799
100,4,3,3,False,3.1257635098297687,2.0358355447397707
500,4,5,3,False,3.202221986173029,2.0494360065392816
500,4,2,3,False,3.2239837524846893,2.05709075655325
1000,4,4,3,False,3.2348661959803926,2.0614082080627645
1000,4,2,3,False,3.23455977135534,2.0614973436678814
500,4,4,3,False,3.250217897499706,2.0649496951136657
1000,4,5,3,False,3.240215745210359,2.0670138363375803
1000,4,3,3,False,3.2543013104796343,2.0687629038485875
50,4,3,3,False,3.268958763595923,2.0689070270577288
100,4,2,3,False,3.267335579908858,2.070926256090381
500,4,3,3,False,3.25280066961928,2.0718060784696637
50,4,5,3,False,3.278598169411069,2.074848898945498
100,4,4,3,False,3.3077869591692117,2.0807105923570637
100,4,5,3,False,3.2880356537872655,2.0817689118140037
10,3,3,10,False,3.3469529733163603,2.0943580675157913
50,4,2,3,False,3.3210443371075495,2.1063249129848973
10,4,3,3,False,3.7928117213941994,2.2035347607733735
10,4,5,3,False,3.7090688719344773,2.221192781379081
