n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
10,10,2,10,False,1.1875650821785164,1.1076842682053545
10,9,5,10,False,1.2088931077585987,1.113263956677924
50,8,3,10,False,1.1790637787997915,1.117004900646725
10,10,3,10,False,1.1693783686754873,1.119091500640792
10,9,2,10,False,1.2169036645817641,1.1208427112457904
1000,7,3,10,False,1.1683516612755194,1.1270508122258354
1000,7,2,10,False,1.167672905136626,1.1278887084328144
500,7,2,10,False,1.168778444743019,1.1283659198746232
1000,7,4,10,False,1.1707729859976426,1.1284557706999334
100,7,4,10,False,1.1770899405374111,1.131020263023348
500,7,3,10,False,1.167139340097861,1.132212160680676
1000,7,5,10,False,1.17445286324177,1.1325125685969295
100,7,3,10,False,1.1710635869144577,1.1326264483198385
500,7,4,10,False,1.1779019921131368,1.1347935900168746
100,7,5,10,False,1.1871982651168291,1.1358025081979706
500,7,5,10,False,1.1761139879560496,1.1361967321185038
100,7,2,10,False,1.180684637062124,1.1393067038556863
50,7,5,10,False,1.188967755359164,1.1400623928770672
50,7,3,10,False,1.198169987825172,1.1400864130273212
10,10,5,10,False,1.2523702523163247,1.1426435537829969
10,8,5,10,False,1.2391378077457476,1.1471574979156107
10,9,3,10,False,1.2261626609767604,1.1477976655416569
50,7,2,10,False,1.2036161166941954,1.1480636474481978
10,8,2,10,False,1.2365248730365932,1.1525359544661025
10,9,4,10,False,1.2471131872668269,1.1548936223055914
50,7,4,10,False,1.2396444212243007,1.1640532438430835
10,7,5,10,False,1.26882582863944,1.1668377410546642
500,10,2,3,False,1.221455373835632,1.1671521179251072
10,8,3,10,False,1.3055025514118723,1.1688021629892962
1000,10,2,3,False,1.2338486858788211,1.1719074678697363
1000,10,3,3,False,1.2353504935383546,1.1721276423488562
10,8,4,10,False,1.2678486996326086,1.175124526417976
1000,10,4,3,False,1.2358501799193384,1.1755321027042642
500,10,3,3,False,1.2362915975890088,1.17763843553319
100,10,3,3,False,1.2457514557776908,1.178248924131063
100,10,2,3,False,1.2452976611354458,1.1812970952791624
500,10,4,3,False,1.2485471323494193,1.183790299575501
1000,10,5,3,False,1.2580599295455466,1.1871825537821001
500,10,5,3,False,1.262090530527712,1.1893112862938444
50,10,3,3,False,1.2861750656595945,1.1901695059551265
100,6,3,10,False,1.275991320943168,1.1912205679159988
100,10,5,3,False,1.2639116612254386,1.1912975763641698
50,10,4,3,False,1.2850195841337146,1.1935411842165498
100,10,4,3,False,1.2922217398366664,1.1974568661114864
1000,6,4,10,False,1.2873046742038512,1.2009058827210617
500,6,2,10,False,1.2938418555627045,1.2019026264707957
1000,6,5,10,False,1.2881320768727151,1.2030184097329228
1000,6,3,10,False,1.2902654568559062,1.2035582926878348
500,6,4,10,False,1.2986402982878833,1.203633560196702
500,6,5,10,False,1.295284647215615,1.205345877287896
500,6,3,10,False,1.297973004464808,1.2058350219800362
1000,6,2,10,False,1.2987083229461278,1.206050326926054
50,10,2,3,False,1.2963809148854208,1.207597485770399
50,6,4,10,False,1.3224621459030572,1.2090295348108355
50,6,3,10,False,1.2912978917956228,1.2106944734826453
100,6,5,10,False,1.2968729538899428,1.2113043969518091
10,7,2,10,False,1.3525843803598177,1.2134165331545117
50,10,5,3,False,1.3153268558165077,1.213943751786018
